t,u,y
376,-0.84248048139504,-0.9740075156092112
377,-0.8887382924781404,-0.9903762753559386
378,-0.926485051809078,-0.985901284463235
379,-0.9557545570205448,-1.0054927631936148
380,-0.9766918178322159,-1.0058239020988509
381,-0.9895457172846605,-0.9919475890197952
382,-0.9946599463632564,-0.982435360741964
383,-0.9924624203313187,-1.008057213547144
384,-0.9834534135803783,-0.9954991029541082
385,-0.9681926733442181,-0.9850595467330522
386,-0.9472857907479206,-0.9905709115464343
387,-0.9213701200199171,-0.982739657038504
388,-0.8911005430489957,-0.9716222615371396
389,-0.8571353767064714,-0.9998510132047325
390,-0.8201227144887338,-0.9748679054398495
391,-0.7806874822042819,-0.980463642913714
392,-0.7394194698905191,-0.975014420055406
393,-0.6968625792743661,-0.9762790879029052
394,-0.6535054983704391,-0.9655748068829313
395,-0.6097739828236505,-0.9766772080626133
396,-0.5660248880183208,-0.9738257385844541
397,-0.5225420575351746,-0.9340400214611608
398,-0.4795341330405152,-0.9134449957846743
399,-0.4371343089792038,-0.9144394389638297
